iter	Passed	Remaining
0	12	1868
1	22	1640
2	33	1652
3	43	1591
4	54	1591
5	66	1594
6	75	1549
7	85	1519
8	95	1491
9	104	1468
10	116	1468
11	128	1473
12	139	1473
13	149	1455
14	162	1459
15	172	1443
16	182	1427
17	192	1411
18	203	1405
19	213	1390
20	226	1389
21	235	1372
22	248	1374
23	262	1376
24	272	1361
25	281	1344
26	293	1335
27	304	1327
28	316	1322
29	329	1318
30	340	1305
31	355	1310
32	365	1296
33	377	1289
34	389	1280
35	399	1265
36	411	1255
37	422	1244
38	432	1229
39	443	1219
40	456	1213
41	466	1200
42	476	1186
43	486	1172
44	496	1158
45	508	1149
46	518	1135
47	527	1121
48	537	1107
49	549	1098
50	559	1085
51	569	1072
52	579	1059
53	588	1046
54	599	1034
55	611	1025
56	621	1013
57	632	1003
58	645	994
59	657	985
60	666	972
61	676	960
62	686	948
63	699	940
64	711	930
65	720	917
66	730	904
67	742	895
68	751	882
69	763	872
70	773	860
71	785	850
72	797	840
73	806	828
74	819	819
75	829	807
76	838	795
77	850	784
78	860	773
79	871	762
80	884	753
81	895	742
82	905	731
83	916	719
84	928	709
85	940	699
86	952	689
87	962	677
88	974	667
89	984	656
90	996	645
91	1008	635
92	1020	625
93	1032	614
94	1043	604
95	1054	593
96	1064	581
97	1076	571
98	1086	559
99	1099	549
100	1110	538
101	1122	528
102	1132	516
103	1145	506
104	1154	494
105	1166	484
106	1178	473
107	1191	463
108	1200	451
109	1227	446
110	1236	434
111	1249	423
112	1260	412
113	1272	401
114	1282	390
115	1293	379
116	1303	367
117	1315	356
118	1325	345
119	1334	333
120	1346	322
121	1357	311
122	1369	300
123	1379	289
124	1389	277
125	1398	266
126	1409	255
127	1418	243
128	1429	232
129	1439	221
130	1449	210
131	1458	198
132	1468	187
133	1477	176
134	1487	165
135	1498	154
136	1509	143
137	1519	132
138	1532	121
139	1545	110
140	1555	99
141	1568	88
142	1578	77
143	1590	66
144	1602	55
145	1614	44
146	1624	33
147	1634	22
148	1646	11
149	1657	0
