version,model,horizon,sharpe_ann,mean_spearman,source
v6a,Random Forest baseline selection,1,-0.1708,-0.0003,notebook cell output: RF vs XGB v5
v6a,Random Forest baseline selection,3,0.2041,0.0379,notebook cell output: RF vs XGB v5
v6a,Random Forest baseline selection,6,0.0768,0.042,notebook cell output: RF vs XGB v5
v6a,Random Forest baseline selection,12,0.0248,0.05,notebook cell output: RF vs XGB v5
v6b,Random Forest + Optuna + threshold,1,0.112,0.024,notebook cell output: v6 shootout RF
v6b,Random Forest + Optuna + threshold,3,0.03,0.0576,notebook cell output: v6 shootout RF
v6b,Random Forest + Optuna + threshold,6,0.234,0.0539,notebook cell output: v6 shootout RF
v6b,Random Forest + Optuna + threshold,12,0.009,0.0234,notebook cell output: v6 shootout RF
v6c,Full shootout winner: LightGBM Ranker,1,0.289,-0.0167,notebook cell output: v6 shootout winner
v6c,Full shootout winner: LightGBM Ranker,3,0.15,0.0299,notebook cell output: v6 shootout winner
v6c,Full shootout winner: LightGBM Ranker,6,0.056,0.0338,notebook cell output: v6 shootout winner
v6c,Full shootout winner: LightGBM Ranker,12,0.299,0.0588,notebook cell output: v6 shootout winner
