,count,mean,std,min,5%,50%,95%,max,n_missing
eps_supply,456.0,0.0,1.0011,-8.9118,-1.266,-0.0508,1.3335,3.9804,0
eps_agg_demand,456.0,0.0,1.0011,-5.5312,-1.6507,0.0462,1.5104,3.5577,0
eps_precaut,456.0,0.0,1.0011,-7.629,-1.5297,0.0222,1.478,3.6296,0
eps_supply_lag1,455.0,0.0002,1.0022,-8.9118,-1.2698,-0.0494,1.334,3.9804,1
eps_supply_lag2,454.0,0.0005,1.0033,-8.9118,-1.2735,-0.0447,1.3346,3.9804,2
eps_supply_lag3,453.0,0.002,1.0038,-8.9118,-1.2773,-0.0399,1.3351,3.9804,3
eps_agg_demand_lag1,455.0,-0.0001,1.0022,-5.5312,-1.6514,0.052,1.5106,3.5577,1
eps_agg_demand_lag2,454.0,-0.0034,1.0008,-5.5312,-1.6521,0.0462,1.4699,3.5577,2
eps_agg_demand_lag3,453.0,-0.0041,1.0018,-5.5312,-1.6528,0.0404,1.4729,3.5577,3
eps_precaut_lag1,455.0,0.0022,1.0011,-7.629,-1.5299,0.0318,1.4783,3.6296,1
eps_precaut_lag2,454.0,0.0045,1.001,-7.629,-1.5301,0.0336,1.4785,3.6296,2
eps_precaut_lag3,453.0,0.0051,1.002,-7.629,-1.5303,0.0354,1.4787,3.6296,3
eps_supply_cum3m,454.0,0.0027,1.7396,-10.9141,-2.3472,0.0535,2.7375,6.3396,2
eps_agg_demand_cum3m,454.0,-0.0089,1.7483,-9.6515,-2.9427,0.0362,2.5092,5.059,2
eps_precaut_cum3m,454.0,0.0097,1.7327,-10.5437,-2.5265,0.0778,2.5926,6.8859,2
dom_is_supply,456.0,0.3048,0.4608,0.0,0.0,0.0,1.0,1.0,0
dom_is_agg_demand,456.0,0.3311,0.4711,0.0,0.0,0.0,1.0,1.0,0
dom_is_precaut,456.0,0.364,0.4817,0.0,0.0,0.0,1.0,1.0,0
shock_sign,456.0,0.057,0.9995,-1.0,-1.0,1.0,1.0,1.0,0
shock_magnitude,456.0,1.2451,0.8361,0.1031,0.4501,1.095,2.5708,8.9118,0
contamination_flag,456.0,0.5197,0.5002,0.0,0.0,1.0,1.0,1.0,0
vix_level,456.0,19.3879,7.4777,9.51,11.275,17.4,32.04,59.89,0
vix_regime,456.0,1.0088,0.8227,0.0,0.0,1.0,2.0,2.0,0
vix_is_proxy,456.0,0.0526,0.2235,0.0,0.0,0.0,1.0,1.0,0
fed_regime_num,456.0,0.011,0.6236,-1.0,-1.0,0.0,1.0,1.0,0
credit_spread_ig,456.0,1.2628,0.7135,0.51,0.64,1.08,2.3425,6.07,0
credit_spread_hy,384.0,4.8034,2.2266,2.35,2.6815,4.125,8.487,18.33,72
hy_available,456.0,0.8421,0.365,0.0,0.0,1.0,1.0,1.0,0
Recession,456.0,0.0789,0.27,0.0,0.0,0.0,1.0,1.0,0
oil_ret_3m,456.0,0.0077,0.1905,-1.0923,-0.264,0.0194,0.2741,0.8409,0
oil_ret_12m,456.0,0.0322,0.3238,-1.1998,-0.5189,0.035,0.5361,1.1946,0
net_oil_price_3yr,456.0,0.0058,0.0258,0.0,0.0,0.0,0.0447,0.3579,0
oil_vol_6m_monthly,456.0,0.0874,0.0535,0.0237,0.0352,0.0761,0.1552,0.4516,0
