sector,horizon,task,r2,rmse,mae,directional_accuracy,n_oof,accuracy,f1,base_rate
NoDur,1,reg,-0.00604732678264841,0.03268871158333196,0.02440377893490584,0.49333333333333335,375,,,
NoDur,1,clf,,,,,375,0.5226666666666666,0.5421994884910486,0.496
NoDur,3,reg,-0.1347705325331272,0.06301393103041109,0.04752854794920996,0.488,375,,,
NoDur,3,clf,,,,,375,0.5093333333333333,0.4491017964071856,0.424
NoDur,6,reg,-0.7224341788568962,0.11216409207542222,0.08198769883360127,0.49066666666666664,375,,,
NoDur,6,clf,,,,,375,0.4666666666666667,0.49238578680203043,0.4613333333333333
NoDur,12,reg,-0.8498677664947885,0.1787383980439852,0.13203304354340048,0.4837837837837838,370,,,
NoDur,12,clf,,,,,370,0.43243243243243246,0.4444444444444444,0.44324324324324327
Durbl,1,reg,-0.002969948434972114,0.06440582002357483,0.042524002447061594,0.5226666666666666,375,,,
Durbl,1,clf,,,,,375,0.5333333333333333,0.4262295081967213,0.4613333333333333
Durbl,3,reg,-0.032034113981689316,0.1124282046576204,0.07940509471610348,0.56,375,,,
Durbl,3,clf,,,,,375,0.528,0.3745583038869258,0.45066666666666666
Durbl,6,reg,-0.03746275803680987,0.16088551299260945,0.11737041139184465,0.5626666666666666,375,,,
Durbl,6,clf,,,,,375,0.5413333333333333,0.37681159420289856,0.45866666666666667
Durbl,12,reg,-0.21086593451293068,0.2505317883529864,0.18321107681288604,0.5351351351351351,370,,,
Durbl,12,clf,,,,,370,0.5324324324324324,0.3215686274509804,0.45135135135135135
Manuf,1,reg,-0.0031159662759683293,0.02426353418266004,0.01844539933577495,0.49866666666666665,375,,,
Manuf,1,clf,,,,,375,0.5386666666666666,0.6326963906581741,0.56
Manuf,3,reg,-0.05448686513065604,0.04317313233264303,0.03346283806827313,0.49866666666666665,375,,,
Manuf,3,clf,,,,,375,0.496,0.5310173697270472,0.536
Manuf,6,reg,-0.1842123007575771,0.06759670369099557,0.052383879281836944,0.496,375,,,
Manuf,6,clf,,,,,375,0.488,0.5636363636363636,0.576
Manuf,12,reg,-0.2915659087304714,0.0952782406357466,0.07751568728935408,0.44594594594594594,370,,,
Manuf,12,clf,,,,,370,0.45675675675675675,0.513317191283293,0.5594594594594594
Enrgy,1,reg,-0.03598623333125883,0.056076582293494624,0.04196342441299155,0.48533333333333334,375,,,
Enrgy,1,clf,,,,,375,0.5013333333333333,0.4904632152588556,0.4693333333333333
Enrgy,3,reg,-0.14051971020825338,0.10277612586186903,0.07858376360022616,0.48533333333333334,375,,,
Enrgy,3,clf,,,,,375,0.48533333333333334,0.4987012987012987,0.47733333333333333
