sector,horizon,n_oof,r2,rmse,mae,dir_acc,base_rate,naive_baseline,edge,model
NoDur,1,375,-0.0039030737186616093,0.032653857229906914,0.024242399802575258,0.504,0.496,0.504,0.0,xgb_pooled_v2
Durbl,1,375,-0.0026319195219086655,0.06439496582797202,0.042411560318600036,0.4826666666666667,0.4613333333333333,0.5386666666666666,-0.05599999999999994,xgb_pooled_v2
Manuf,1,375,-0.012972804238299052,0.024382452178110435,0.018596443142958108,0.48,0.56,0.56,-0.08000000000000007,xgb_pooled_v2
Enrgy,1,375,-0.0026695875409028513,0.05516752058929042,0.040783824471934065,0.45866666666666667,0.4693333333333333,0.5306666666666666,-0.07199999999999995,xgb_pooled_v2
Chems,1,375,-0.009235281044811083,0.03008206020976054,0.021936148018528768,0.44,0.4746666666666667,0.5253333333333333,-0.08533333333333332,xgb_pooled_v2
BusEq,1,375,-0.008512463032165352,0.03752479886441207,0.027086328088648432,0.544,0.5466666666666666,0.5466666666666666,-0.002666666666666595,xgb_pooled_v2
Telcm,1,375,-0.007467493542384851,0.03337623917716151,0.025267377239490317,0.49333333333333335,0.44533333333333336,0.5546666666666666,-0.061333333333333295,xgb_pooled_v2
Utils,1,375,-0.0024854838561387815,0.04462147244837513,0.03404278586480433,0.496,0.4746666666666667,0.5253333333333333,-0.029333333333333322,xgb_pooled_v2
Shops,1,375,-0.004153404166588492,0.024884666929731795,0.018994886153876504,0.488,0.5146666666666667,0.5146666666666667,-0.026666666666666727,xgb_pooled_v2
Hlth,1,375,0.0013996705360967976,0.0338967401153224,0.025386164376964473,0.512,0.4666666666666667,0.5333333333333333,-0.021333333333333315,xgb_pooled_v2
Money,1,375,-0.0032903338814502803,0.031147631482502915,0.022874402274762205,0.49066666666666664,0.5066666666666667,0.5066666666666667,-0.01600000000000007,xgb_pooled_v2
Other,1,375,-0.02499470850749841,0.01864787692500318,0.014228220109376195,0.4693333333333333,0.4533333333333333,0.5466666666666666,-0.07733333333333331,xgb_pooled_v2
NoDur,1,375,,,,0.5093333333333333,0.496,0.504,0.005333333333333301,clf_pooled_v2
Durbl,1,375,,,,0.5093333333333333,0.4613333333333333,0.5386666666666666,-0.029333333333333322,clf_pooled_v2
Manuf,1,375,,,,0.5386666666666666,0.56,0.56,-0.021333333333333426,clf_pooled_v2
Enrgy,1,375,,,,0.4826666666666667,0.4693333333333333,0.5306666666666666,-0.04799999999999993,clf_pooled_v2
Chems,1,375,,,,0.5093333333333333,0.4746666666666667,0.5253333333333333,-0.016000000000000014,clf_pooled_v2
BusEq,1,375,,,,0.544,0.5466666666666666,0.5466666666666666,-0.002666666666666595,clf_pooled_v2
Telcm,1,375,,,,0.49066666666666664,0.44533333333333336,0.5546666666666666,-0.064,clf_pooled_v2
Utils,1,375,,,,0.5013333333333333,0.4746666666666667,0.5253333333333333,-0.02400000000000002,clf_pooled_v2
Shops,1,375,,,,0.5253333333333333,0.5146666666666667,0.5146666666666667,0.010666666666666602,clf_pooled_v2
Hlth,1,375,,,,0.5093333333333333,0.4666666666666667,0.5333333333333333,-0.02400000000000002,clf_pooled_v2
Money,1,375,,,,0.5253333333333333,0.5066666666666667,0.5066666666666667,0.01866666666666661,clf_pooled_v2
Other,1,375,,,,0.48533333333333334,0.4533333333333333,0.5466666666666666,-0.061333333333333295,clf_pooled_v2
NoDur,1,375,-0.0077911836790260924,0.032717030208354564,0.024287895502432964,0.512,0.496,0.504,0.008000000000000007,ridge_pooled_v2
Durbl,1,375,-0.0021582886578965788,0.06437975434036139,0.04254158625742618,0.5066666666666667,0.4613333333333333,0.5386666666666666,-0.03199999999999992,ridge_pooled_v2
Manuf,1,375,-0.011854784724140144,0.024368992989907762,0.018619404473391304,0.528,0.56,0.56,-0.03200000000000003,ridge_pooled_v2
Enrgy,1,375,-0.013107858249200355,0.05545393724362288,0.04103423563482575,0.472,0.4693333333333333,0.5306666666666666,-0.058666666666666645,ridge_pooled_v2
Chems,1,375,-0.018054195180759347,0.030213206081640524,0.022029781193940817,0.45866666666666667,0.4746666666666667,0.5253333333333333,-0.06666666666666665,ridge_pooled_v2
BusEq,1,375,-0.015338309336764722,0.0376515729888401,0.027121554606541063,0.5146666666666667,0.5466666666666666,0.5466666666666666,-0.03199999999999992,ridge_pooled_v2
Telcm,1,375,-0.009184892008512913,0.03340467478183384,0.025227327367418388,0.5466666666666666,0.44533333333333336,0.5546666666666666,-0.008000000000000007,ridge_pooled_v2
Utils,1,375,-0.005051987175994643,0.04467855454838663,0.03415782694452286,0.5066666666666667,0.4746666666666667,0.5253333333333333,-0.01866666666666661,ridge_pooled_v2
Shops,1,375,-0.0046590863235747015,0.0248909319825282,0.0190393565656632,0.496,0.5146666666666667,0.5146666666666667,-0.01866666666666672,ridge_pooled_v2
Hlth,1,375,-0.006644417527023716,0.03403299154866753,0.025554590151250542,0.5066666666666667,0.4666666666666667,0.5333333333333333,-0.026666666666666616,ridge_pooled_v2
Money,1,375,-0.012307016805817472,0.03128728205185519,0.02287757414332563,0.504,0.5066666666666667,0.5066666666666667,-0.002666666666666706,ridge_pooled_v2
Other,1,375,-0.042806761479410316,0.018809207681810422,0.014404896407641275,0.5066666666666667,0.4533333333333333,0.5466666666666666,-0.039999999999999925,ridge_pooled_v2
NoDur,3,375,-0.0067571937989128195,0.059353306673251775,0.04433075742867182,0.4533333333333333,0.424,0.5760000000000001,-0.12266666666666676,xgb_pooled_v2
Durbl,3,375,0.002209288873037063,0.11054725861191968,0.07533929591094986,0.45066666666666666,0.45066666666666666,0.5493333333333333,-0.09866666666666668,xgb_pooled_v2
Manuf,3,375,-0.02042598406757734,0.042470143296226566,0.03244513940811901,0.4693333333333333,0.536,0.536,-0.06666666666666671,xgb_pooled_v2
Enrgy,3,375,-0.020556040708298084,0.09722081876652244,0.0732000170878451,0.4026666666666667,0.47733333333333333,0.5226666666666666,-0.11999999999999994,xgb_pooled_v2
Chems,3,375,-0.011445283366384507,0.0530743949376242,0.03719623154800311,0.42933333333333334,0.44,0.56,-0.1306666666666667,xgb_pooled_v2
BusEq,3,375,-0.03459075235594078,0.06424509196835805,0.04601028803562978,0.5546666666666666,0.6106666666666667,0.6106666666666667,-0.05600000000000005,xgb_pooled_v2
Telcm,3,375,-0.03794125276860827,0.0588656800022124,0.04494476877086766,0.432,0.4026666666666667,0.5973333333333333,-0.16533333333333328,xgb_pooled_v2
Utils,3,375,-0.01672016763957629,0.07341822702119413,0.05654500296454357,0.424,0.4533333333333333,0.5466666666666666,-0.12266666666666665,xgb_pooled_v2
Shops,3,375,0.0025767400265231943,0.04418761843333645,0.033581354370642205,0.49066666666666664,0.488,0.512,-0.02133333333333337,xgb_pooled_v2
Hlth,3,375,-0.0216463766157986,0.056132652031645705,0.042788735197158284,0.5066666666666667,0.496,0.504,0.002666666666666706,xgb_pooled_v2
Money,3,375,0.00027417884756686384,0.05365289690217521,0.03864517759238816,0.528,0.5413333333333333,0.5413333333333333,-0.013333333333333308,xgb_pooled_v2
Other,3,375,-0.08425781761043716,0.03330668683535716,0.026203845612835314,0.4053333333333333,0.4186666666666667,0.5813333333333333,-0.17599999999999993,xgb_pooled_v2
NoDur,3,375,,,,0.448,0.424,0.5760000000000001,-0.12800000000000006,clf_pooled_v2
Durbl,3,375,,,,0.4693333333333333,0.45066666666666666,0.5493333333333333,-0.08000000000000002,clf_pooled_v2
Manuf,3,375,,,,0.432,0.536,0.536,-0.10400000000000004,clf_pooled_v2
Enrgy,3,375,,,,0.416,0.47733333333333333,0.5226666666666666,-0.10666666666666663,clf_pooled_v2
Chems,3,375,,,,0.45866666666666667,0.44,0.56,-0.10133333333333339,clf_pooled_v2
BusEq,3,375,,,,0.56,0.6106666666666667,0.6106666666666667,-0.05066666666666664,clf_pooled_v2
Telcm,3,375,,,,0.49066666666666664,0.4026666666666667,0.5973333333333333,-0.10666666666666663,clf_pooled_v2
Utils,3,375,,,,0.43466666666666665,0.4533333333333333,0.5466666666666666,-0.11199999999999999,clf_pooled_v2
Shops,3,375,,,,0.44533333333333336,0.488,0.512,-0.06666666666666665,clf_pooled_v2
Hlth,3,375,,,,0.47733333333333333,0.496,0.504,-0.026666666666666672,clf_pooled_v2
Money,3,375,,,,0.576,0.5413333333333333,0.5413333333333333,0.03466666666666662,clf_pooled_v2
Other,3,375,,,,0.45866666666666667,0.4186666666666667,0.5813333333333333,-0.12266666666666659,clf_pooled_v2
NoDur,3,375,-0.03419520286939215,0.060156672807991765,0.04515883459767078,0.44266666666666665,0.424,0.5760000000000001,-0.13333333333333341,ridge_pooled_v2
Durbl,3,375,-0.013989219941570985,0.11144097880687802,0.07578598812769409,0.512,0.45066666666666666,0.5493333333333333,-0.03733333333333333,ridge_pooled_v2
Manuf,3,375,-0.07466048672478776,0.04358415318805552,0.0326469763125202,0.49066666666666664,0.536,0.536,-0.04533333333333339,ridge_pooled_v2
Enrgy,3,375,-0.03665568302145017,0.09798466493511639,0.0743799842197275,0.4,0.47733333333333333,0.5226666666666666,-0.12266666666666659,ridge_pooled_v2
Chems,3,375,-0.0668531354281976,0.05450874386764798,0.03838878954236838,0.472,0.44,0.56,-0.08800000000000008,ridge_pooled_v2
BusEq,3,375,-0.035343480936928406,0.06426845885228825,0.04581019849240846,0.5333333333333333,0.6106666666666667,0.6106666666666667,-0.07733333333333337,ridge_pooled_v2
Telcm,3,375,-0.03263326005741196,0.05871496863021479,0.04472079538498215,0.5173333333333333,0.4026666666666667,0.5973333333333333,-0.07999999999999996,ridge_pooled_v2
Utils,3,375,-0.03501863385973403,0.07407595474237376,0.05725400122778795,0.4666666666666667,0.4533333333333333,0.5466666666666666,-0.07999999999999996,ridge_pooled_v2
Shops,3,375,-0.01700594457547977,0.04461928380074401,0.033848224458838026,0.4613333333333333,0.488,0.512,-0.05066666666666669,ridge_pooled_v2
Hlth,3,375,-0.008134377710243834,0.055760219417126285,0.04225315198018396,0.5146666666666667,0.496,0.504,0.010666666666666713,ridge_pooled_v2
Money,3,375,-0.07510606647530071,0.05563887979433428,0.039793405121275084,0.48,0.5413333333333333,0.5413333333333333,-0.06133333333333335,ridge_pooled_v2
Other,3,375,-0.15588842264691505,0.03438928208233438,0.026519766634795255,0.5626666666666666,0.4186666666666667,0.5813333333333333,-0.01866666666666661,ridge_pooled_v2
NoDur,6,375,-0.009954994934283867,0.08588820740845633,0.06298331851030933,0.49866666666666665,0.4613333333333333,0.5386666666666666,-0.03999999999999998,xgb_pooled_v2
Durbl,6,375,-0.008685399916525283,0.15863848332947694,0.11242533415678904,0.39466666666666667,0.45866666666666667,0.5413333333333333,-0.14666666666666667,xgb_pooled_v2
Manuf,6,375,-0.03200326944160303,0.06310318370715158,0.049777730046571295,0.49866666666666665,0.576,0.576,-0.07733333333333331,xgb_pooled_v2
Enrgy,6,375,-0.046476359157717306,0.14140341098573558,0.10462147034082163,0.3333333333333333,0.4693333333333333,0.5306666666666666,-0.1973333333333333,xgb_pooled_v2
Chems,6,375,-0.01735133062406069,0.07642979499201089,0.05407256583448898,0.44,0.42933333333333334,0.5706666666666667,-0.13066666666666665,xgb_pooled_v2
BusEq,6,375,-0.06321794457240926,0.09422507971035285,0.06636817585812789,0.6053333333333333,0.648,0.648,-0.04266666666666674,xgb_pooled_v2
Telcm,6,375,-0.0564595527174756,0.08519273808340727,0.0654613917587725,0.49866666666666665,0.4,0.6,-0.10133333333333333,xgb_pooled_v2
Utils,6,375,-0.04320589687306753,0.10320563307674582,0.07862380692775402,0.4186666666666667,0.456,0.544,-0.12533333333333335,xgb_pooled_v2
Shops,6,375,0.0123520410815251,0.0615959655925849,0.04792071404678203,0.52,0.504,0.504,0.016000000000000014,xgb_pooled_v2
Hlth,6,375,-0.036318475040806986,0.0754078187366169,0.05903923052666064,0.5226666666666666,0.5093333333333333,0.5093333333333333,0.013333333333333308,xgb_pooled_v2
Money,6,375,0.006496379814422193,0.07977907471856992,0.05773039134542387,0.49066666666666664,0.5306666666666666,0.5306666666666666,-0.03999999999999998,xgb_pooled_v2
Other,6,375,-0.13499601797532912,0.046850812509390695,0.03550028802209802,0.42933333333333334,0.4026666666666667,0.5973333333333333,-0.16799999999999993,xgb_pooled_v2
NoDur,6,375,,,,0.488,0.4613333333333333,0.5386666666666666,-0.05066666666666664,clf_pooled_v2
Durbl,6,375,,,,0.38666666666666666,0.45866666666666667,0.5413333333333333,-0.15466666666666667,clf_pooled_v2
Manuf,6,375,,,,0.5626666666666666,0.576,0.576,-0.013333333333333308,clf_pooled_v2
Enrgy,6,375,,,,0.4613333333333333,0.4693333333333333,0.5306666666666666,-0.0693333333333333,clf_pooled_v2
Chems,6,375,,,,0.464,0.42933333333333334,0.5706666666666667,-0.10666666666666663,clf_pooled_v2
BusEq,6,375,,,,0.6053333333333333,0.648,0.648,-0.04266666666666674,clf_pooled_v2
Telcm,6,375,,,,0.44266666666666665,0.4,0.6,-0.15733333333333333,clf_pooled_v2
Utils,6,375,,,,0.48,0.456,0.544,-0.06400000000000006,clf_pooled_v2
Shops,6,375,,,,0.49333333333333335,0.504,0.504,-0.010666666666666658,clf_pooled_v2
Hlth,6,375,,,,0.5226666666666666,0.5093333333333333,0.5093333333333333,0.013333333333333308,clf_pooled_v2
Money,6,375,,,,0.496,0.5306666666666666,0.5306666666666666,-0.03466666666666662,clf_pooled_v2
Other,6,375,,,,0.456,0.4026666666666667,0.5973333333333333,-0.14133333333333326,clf_pooled_v2
NoDur,6,375,-0.113402768854306,0.0901796771917888,0.06662525883713859,0.4693333333333333,0.4613333333333333,0.5386666666666666,-0.0693333333333333,ridge_pooled_v2
Durbl,6,375,-0.01891677610127629,0.1594410105000157,0.11141040306689426,0.5413333333333333,0.45866666666666667,0.5413333333333333,0.0,ridge_pooled_v2
Manuf,6,375,-0.20695536572156437,0.06824272169992313,0.050908660180530745,0.464,0.576,0.576,-0.11199999999999993,ridge_pooled_v2
Enrgy,6,375,-0.1056316755072364,0.145345105396741,0.11037257975811897,0.45066666666666666,0.4693333333333333,0.5306666666666666,-0.07999999999999996,ridge_pooled_v2
Chems,6,375,-0.1536908362049798,0.08139016660294163,0.05838809664691252,0.4826666666666667,0.42933333333333334,0.5706666666666667,-0.08799999999999997,ridge_pooled_v2
BusEq,6,375,-0.1005389098290157,0.0958645560682324,0.0674455045823769,0.5546666666666666,0.648,0.648,-0.09333333333333338,ridge_pooled_v2
Telcm,6,375,-0.07658407731795824,0.08600032957439947,0.06612191230551384,0.5733333333333334,0.4,0.6,-0.026666666666666616,ridge_pooled_v2
Utils,6,375,-0.14131485187139337,0.1079496205082108,0.08232683608090123,0.44533333333333336,0.456,0.544,-0.09866666666666668,ridge_pooled_v2
Shops,6,375,-0.09713654054073029,0.06492045011221514,0.04936569804489043,0.496,0.504,0.504,-0.008000000000000007,ridge_pooled_v2
Hlth,6,375,-0.07276362895921107,0.07672232911006749,0.059915827717789645,0.5226666666666666,0.5093333333333333,0.5093333333333333,0.013333333333333308,ridge_pooled_v2
Money,6,375,-0.23421068580214466,0.08891989048962368,0.0641904331122798,0.44533333333333336,0.5306666666666666,0.5306666666666666,-0.08533333333333326,ridge_pooled_v2
Other,6,375,-0.47482635771460724,0.0534060432847199,0.03958833290389308,0.5786666666666667,0.4026666666666667,0.5973333333333333,-0.01866666666666661,ridge_pooled_v2
NoDur,12,370,-0.031408600785125085,0.13346361778035987,0.10044367162003,0.43513513513513513,0.44324324324324327,0.5567567567567567,-0.1216216216216216,xgb_pooled_v2
Durbl,12,370,-0.025489855834035957,0.23055815716639955,0.1644381316443351,0.4297297297297297,0.45135135135135135,0.5486486486486486,-0.11891891891891887,xgb_pooled_v2
Manuf,12,370,-0.10959200308369876,0.08831146747746153,0.0728597192981617,0.3783783783783784,0.5594594594594594,0.5594594594594594,-0.181081081081081,xgb_pooled_v2
Enrgy,12,370,-0.027453728798174204,0.220253382525631,0.16555679091720257,0.327027027027027,0.4540540540540541,0.5459459459459459,-0.2189189189189189,xgb_pooled_v2
Chems,12,370,-0.07534693259520386,0.11753514854244512,0.08599198049595017,0.35405405405405405,0.41081081081081083,0.5891891891891892,-0.23513513513513512,xgb_pooled_v2
BusEq,12,370,-0.10073397304143161,0.14555638760870004,0.10131255232487166,0.5837837837837838,0.7189189189189189,0.7189189189189189,-0.1351351351351351,xgb_pooled_v2
Telcm,12,370,-0.0849821435442839,0.12614944702400613,0.0987667759896718,0.5108108108108108,0.3891891891891892,0.6108108108108108,-0.09999999999999998,xgb_pooled_v2
Utils,12,370,-0.059492764081838345,0.14991572131787664,0.1142805186447108,0.35945945945945945,0.4,0.6,-0.24054054054054053,xgb_pooled_v2
Shops,12,370,-0.0387053778592763,0.08868743409148691,0.06774334512916162,0.5513513513513514,0.5324324324324324,0.5324324324324324,0.018918918918918948,xgb_pooled_v2
Hlth,12,370,-0.04366641878297517,0.10453178533341335,0.08467634492170534,0.4945945945945946,0.46756756756756757,0.5324324324324324,-0.03783783783783784,xgb_pooled_v2
